JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ, LT, RG, RR,
2458314.958333333, A.D. 2018-Jul-15 11:00:00.0000, -3.918256398625131E-01,  8.605600220404358E-01,  3.730282864436048E-01, -1.562694088542065E-02, -6.234866157690334E-03, -2.613419311391086E-03,  5.870725566031589E-03,  1.016484621661811E+00, -2.137954371499534E-04,
2458315.000000000, A.D. 2018-Jul-15 12:00:00.0000, -3.924755412472578E-01,  8.602999751363002E-01,  3.729193003325273E-01, -1.556832357516369E-02, -6.245021499702568E-03, -2.617913699989922E-03,  5.870671350038051E-03,  1.016475234453525E+00, -2.348076536310896E-04,
2458315.041666667, A.D. 2018-Jul-15 13:00:00.0000, -3.931230257237589E-01,  8.600397985378789E-01,  3.728101270409766E-01, -1.551154257564815E-02, -6.241172271444077E-03, -2.622402886953973E-03,  5.870613556202975E-03,  1.016465227761180E+00, -2.433633130510857E-04,
2458315.083333333, A.D. 2018-Jul-15 14:00:00.0000, -3.937682450592593E-01,  8.597800590623638E-01,  3.727007669188741E-01, -1.546016811625676E-02, -6.224276774815038E-03, -2.626880558824802E-03,  5.870555268038305E-03,  1.016455135478319E+00, -2.388951327157687E-04,
2458315.125000000, A.D. 2018-Jul-15 15:00:00.0000, -3.944114928667825E-01,  8.595212646407605E-01,  3.725912205663232E-01, -1.541739941921223E-02, -6.196186993559479E-03, -2.631341089328166E-03,  5.870499598973700E-03,  1.016445496678577E+00, -2.217231996555144E-04,
2458315.166666667, A.D. 2018-Jul-15 16:00:00.0000, -3.950531844638359E-01,  8.592638295248165E-01,  3.724814887967389E-01, -1.538584549010686E-02, -6.159521695069507E-03, -2.635779924611330E-03,  5.870449480206023E-03,  1.016436818882957E+00, -1.930333199526970E-04,
2458315.208333333, A.D. 2018-Jul-15 17:00:00.0000, -3.956938283919694E-01,  8.590080459128566E-01,  3.723715725853721E-01, -1.536734634998763E-02, -6.117486992273984E-03, -2.640193895009906E-03,  5.870407460929631E-03,  1.016429543470781E+00, -1.547963568202709E-04,
2458315.250000000, A.D. 2018-Jul-15 18:00:00.0000, -3.963339915486727E-01,  8.587540639387288E-01,  3.722614730067565E-01, -1.536284695817317E-02, -6.073656660719119E-03, -2.644581431981707E-03,  5.870375534567749E-03,  1.016424015592580E+00, -1.096340321787609E-04,
2458315.291666667, A.D. 2018-Jul-15 19:00:00.0000, -3.969742603207617E-01,  8.585018813950056E-01,  3.721511911653624E-01, -1.537233246456871E-02, -6.031727263453506E-03, -2.648942675342635E-03,  5.870355002857330E-03,  1.016420460637121E+00, -6.064032411181290E-05,
2458315.333333333, A.D. 2018-Jul-15 20:00:00.0000, -3.976152003823933E-01,  8.582513438946114E-01,  3.720407281242083E-01, -1.539482922799861E-02, -5.995264862540131E-03, -2.653279463455544E-03,  5.870346387062133E-03,  1.016418968858427E+00, -1.117063020732239E-05,
2458315.375000000, A.D. 2018-Jul-15 21:00:00.0000, -3.982573179123440E-01,  8.580021554597980E-01,  3.719300848363243E-01, -1.542847153076903E-02, -5.967460672498839E-03, -2.657595207042762E-03,  5.870349392375909E-03,  1.016419489212377E+00,  3.538692564553239E-05,
2458315.416666667, A.D. 2018-Jul-15 22:00:00.0000, -3.989010248879348E-01,  8.577538988129135E-01,  3.718192620837589E-01, -1.547062941819769E-02, -5.950912398247005E-03, -2.661894655266725E-03,  5.870362927949535E-03,  1.016421832824300E+00,  7.584244113474302E-05,
2458315.458333333, A.D. 2018-Jul-15 23:00:00.0000, -3.995466108336614E-01,  8.575060639786449E-01,  3.717082604283111E-01, -1.551808890355817E-02, -5.947446240256000E-03, -2.666183570104854E-03,  5.870385181180923E-03,  1.016425685851875E+00,  1.074216802263079E-04,
2458315.500000000, A.D. 2018-Jul-16 00:00:00.0000, -4.001942229603111E-01,  8.572580832379068E-01,  3.715970801773637E-01, -1.556727219081137E-02, -5.957991763097054E-03, -2.670468331328474E-03,  5.870413741204130E-03,  1.016430630866602E+00,  1.279551802713134E-04,
2458315.541666667, A.D. 2018-Jul-16 01:00:00.0000, -4.008438560554255E-01,  8.570093700383491E-01,  3.714857213671567E-01, -1.561448282551466E-02, -5.982518201360863E-03, -2.674755499150588E-03,  5.870445763158399E-03,  1.016436175296112E+00,  1.360261257685713E-04,
2458315.583333333, A.D. 2018-Jul-16 02:00:00.0000, -4.014953528178195E-01,  8.567593591953317E-01,  3.713741837646486E-01, -1.565615897618135E-02, -6.020036567273430E-03, -2.679051364508453E-03,  5.870478162037779E-03,  1.016441784988181E+00,  1.310669124526472E-04,
2458315.625000000, A.D. 2018-Jul-16 03:00:00.0000, -4.021484146132315E-01,  8.565075456288058E-01,  3.712624668878386E-01, -1.568911749128751E-02, -6.068667415580262E-03, -2.683361517794105E-03,  5.870507822907523E-03,  1.016446920608578E+00,  1.133978306793328E-04,
