            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2458315.958333333, A.D. 2018-Jul-16 11:00:00.0000,  4.249453331658194E-01, -1.218064541670477E+00,  4.837987669538519E-01,  1.128386261751586E-02,  3.021555365825006E-03,  3.616776956723200E-03,  7.957484363870313E-03,  1.377795707193336E+00,  2.078949386071689E-03,
2458316.000000000, A.D. 2018-Jul-16 12:00:00.0000,  4.254154523587150E-01, -1.217938523912679E+00,  4.839494184742492E-01,  1.128185833506254E-02,  3.027296729085465E-03,  3.614495975651336E-03,  7.957984402833148E-03,  1.377882286255880E+00,  2.076845614046954E-03,
2458316.041666667, A.D. 2018-Jul-16 13:00:00.0000,  4.258854880015485E-01, -1.217812266966331E+00,  4.840999749479336E-01,  1.127985221479308E-02,  3.033036416366856E-03,  3.612214714575921E-03,  7.958483935528999E-03,  1.377968777661011E+00,  2.074741830334427E-03,
2458316.083333333, A.D. 2018-Jul-16 14:00:00.0000,  4.263554400177654E-01, -1.217685770901254E+00,  4.842504363632437E-01,  1.127784425745783E-02,  3.038774428132913E-03,  3.609933173668893E-03,  7.958982961955061E-03,  1.378055181408246E+00,  2.072638034999982E-03,
2458316.125000000, A.D. 2018-Jul-16 15:00:00.0000,  4.268253083308341E-01, -1.217559035787251E+00,  4.844008027085225E-01,  1.127583446380608E-02,  3.044510764846918E-03,  3.607651353101891E-03,  7.959481482108540E-03,  1.378141497497101E+00,  2.070534228109332E-03,
2458316.166666667, A.D. 2018-Jul-16 16:00:00.0000,  4.272950928642544E-01, -1.217432061694108E+00,  4.845510739721200E-01,  1.127382283458594E-02,  3.050245426971788E-03,  3.605369253046199E-03,  7.959979495986662E-03,  1.378227725927096E+00,  2.068430409727992E-03,
2458316.208333333, A.D. 2018-Jul-16 17:00:00.0000,  4.277647935415650E-01, -1.217304848691588E+00,  4.847012501423965E-01,  1.127180937054442E-02,  3.055978414970168E-03,  3.603086873672725E-03,  7.960477003586678E-03,  1.378313866697753E+00,  2.066326579921264E-03,
2458316.250000000, A.D. 2018-Jul-16 18:00:00.0000,  4.282344102863281E-01, -1.217177396849439E+00,  4.848513312077163E-01,  1.126979407242739E-02,  3.061709729304245E-03,  3.600804215152067E-03,  7.960974004905842E-03,  1.378399919808598E+00,  2.064222738754288E-03,
2458316.291666667, A.D. 2018-Jul-16 19:00:00.0000,  4.287039430221369E-01, -1.217049706237386E+00,  4.850013171564509E-01,  1.126777694097963E-02,  3.067439370435844E-03,  3.598521277654484E-03,  7.961470499941423E-03,  1.378485885259159E+00,  2.062118886292017E-03,
2458316.333333333, A.D. 2018-Jul-16 20:00:00.0000,  4.291733916726231E-01, -1.216921776925135E+00,  4.851512079769815E-01,  1.126575797694474E-02,  3.073167338826518E-03,  3.596238061349847E-03,  7.961966488690721E-03,  1.378571763048966E+00,  2.060015022599177E-03,
